,index,ts_code,symbol,name,area,industry,market,list_date
753,753,002304.SZ,002304,洋河股份,江苏,白酒,中小板,20091106
754,754,002305.SZ,002305,南国置业,湖北,区域地产,中小板,20091106
755,755,002306.SZ,002306,ST云网,北京,酒店餐饮,中小板,20091111
756,756,002307.SZ,002307,北新路桥,新疆,建筑工程,中小板,20091111
757,757,002308.SZ,002308,威创股份,广东,IT设备,中小板,20091127
758,758,002309.SZ,002309,中利集团,江苏,电气设备,中小板,20091127
759,759,002310.SZ,002310,东方园林,北京,建筑工程,中小板,20091127
760,760,002311.SZ,002311,海大集团,广东,饲料,中小板,20091127
761,761,002312.SZ,002312,三泰控股,四川,化工原料,中小板,20091203
762,762,002313.SZ,002313,日海智能,深圳,通信设备,中小板,20091203
763,763,002314.SZ,002314,南山控股,深圳,区域地产,中小板,20091203
764,764,002315.SZ,002315,焦点科技,江苏,互联网,中小板,20091209
765,765,002316.SZ,002316,亚联发展,深圳,软件服务,中小板,20091209
766,766,002317.SZ,002317,众生药业,广东,中成药,中小板,20091211
767,767,002318.SZ,002318,久立特材,浙江,特种钢,中小板,20091211
768,768,002319.SZ,002319,*ST乐通,广东,染料涂料,中小板,20091211
769,769,002320.SZ,002320,海峡股份,海南,水运,中小板,20091216
770,770,002321.SZ,002321,华英农业,河南,农业综合,中小板,20091216
771,771,002322.SZ,002322,理工环科,浙江,软件服务,中小板,20091218
772,772,002323.SZ,002323,*ST雅博,山东,建筑工程,中小板,20091218
773,773,002324.SZ,002324,普利特,上海,塑料,中小板,20091218
774,774,002325.SZ,002325,洪涛股份,深圳,装修装饰,中小板,20091222
775,775,002326.SZ,002326,永太科技,浙江,化工原料,中小板,20091222
776,776,002327.SZ,002327,富安娜,深圳,纺织,中小板,20091230
777,777,002328.SZ,002328,新朋股份,上海,汽车配件,中小板,20091230
778,778,002329.SZ,002329,皇氏集团,广西,乳制品,中小板,20100106
779,779,002330.SZ,002330,得利斯,山东,食品,中小板,20100106
780,780,002331.SZ,002331,皖通科技,安徽,软件服务,中小板,20100106
781,781,002332.SZ,002332,仙琚制药,浙江,生物制药,中小板,20100112
782,782,002333.SZ,002333,ST罗普,江苏,铝,中小板,20100112
783,783,002334.SZ,002334,英威腾,深圳,电气设备,中小板,20100113
784,784,002335.SZ,002335,科华数据,福建,电气设备,中小板,20100113
785,785,002336.SZ,002336,ST人乐,深圳,超市连锁,中小板,20100113
786,786,002337.SZ,002337,赛象科技,天津,化工机械,中小板,20100115
787,787,002338.SZ,002338,奥普光电,吉林,电器仪表,中小板,20100115
788,788,002339.SZ,002339,积成电子,山东,电气设备,中小板,20100122
789,789,002340.SZ,002340,格林美,深圳,小金属,中小板,20100122
790,790,002341.SZ,002341,新纶科技,深圳,化工原料,中小板,20100122
791,791,002342.SZ,002342,巨力索具,河北,机械基件,中小板,20100126
792,792,002343.SZ,002343,慈文传媒,浙江,影视音像,中小板,20100126
793,793,002344.SZ,002344,海宁皮城,浙江,商品城,中小板,20100126
794,794,002345.SZ,002345,潮宏基,广东,服饰,中小板,20100128
795,795,002346.SZ,002346,柘中股份,上海,电气设备,中小板,20100128
796,796,002347.SZ,002347,泰尔股份,安徽,机械基件,中小板,20100128
797,797,002348.SZ,002348,高乐股份,广东,文教休闲,中小板,20100203
798,798,002349.SZ,002349,精华制药,江苏,中成药,中小板,20100203
799,799,002350.SZ,002350,北京科锐,北京,电气设备,中小板,20100203
800,800,002351.SZ,002351,漫步者,深圳,IT设备,中小板,20100205
801,801,002352.SZ,002352,顺丰控股,深圳,仓储物流,中小板,20100205
802,802,002353.SZ,002353,杰瑞股份,山东,化工机械,中小板,20100205
803,803,002354.SZ,002354,*ST天娱,辽宁,互联网,中小板,20100209
804,804,002355.SZ,002355,兴民智通,山东,汽车配件,中小板,20100209
805,805,002356.SZ,002356,*ST赫美,深圳,其他商业,中小板,20100209
806,806,002357.SZ,002357,富临运业,四川,公路,中小板,20100210
807,807,002358.SZ,002358,森源电气,河南,电气设备,中小板,20100210
808,808,002360.SZ,002360,同德化工,山西,化工原料,中小板,20100303
809,809,002361.SZ,002361,神剑股份,安徽,化工原料,中小板,20100303
810,810,002362.SZ,002362,汉王科技,北京,软件服务,中小板,20100303
811,811,002363.SZ,002363,隆基机械,山东,汽车配件,中小板,20100305
812,812,002364.SZ,002364,中恒电气,浙江,电气设备,中小板,20100305
813,813,002365.SZ,002365,永安药业,湖北,化学制药,中小板,20100305
814,814,002366.SZ,002366,台海核电,四川,专用机械,中小板,20100312
815,815,002367.SZ,002367,康力电梯,江苏,运输设备,中小板,20100312
816,816,002368.SZ,002368,太极股份,北京,软件服务,中小板,20100312
817,817,002369.SZ,002369,卓翼科技,深圳,通信设备,中小板,20100316
818,818,002370.SZ,002370,亚太药业,浙江,化学制药,中小板,20100316
819,819,002371.SZ,002371,北方华创,北京,半导体,中小板,20100316
820,820,002372.SZ,002372,伟星新材,浙江,其他建材,中小板,20100318
821,821,002373.SZ,002373,千方科技,北京,软件服务,中小板,20100318
822,822,002374.SZ,002374,丽鹏股份,山东,建筑工程,中小板,20100318
