,str_date,amer_nasdaq_stock,amer_dji_stock,local_stock,euro_stock,japa_stock,hk_stock,gold,oil,cpi,gdp,soci_financing,bank_rate,index_close,index_amp,index_percend,index_updown,index_amount,index_count,index_hight,index_low,index_before
18,2020-12-31,12870.0,30409.56,3414.4527,6555.82,27444.17,27147.11,1898.6,51.47,100.5,104.9,1420,1.5,3414.4527,1.1849029613828987,1.05,35.4165,2910235.0,37754235.0,3414.4539,3374.4156,3379.0362
19,2021-01-02,12888.28,30606.48,3473.0693,6460.52,27444.17,27231.13,1901.3,51.71,100.5,104.9,1420,1.5,3473.0693,1.6164083924782413,1.72,58.6166,3356739.0,45048232.0,3474.9182,3419.7267,3414.4527
20,2021-01-03,12888.28,30606.48,3473.0693,6460.52,27444.17,27231.13,1901.3,51.71,100.5,104.9,1420,1.5,3473.0693,1.6164083924782413,1.72,58.6166,3356739.0,45048232.0,3474.9182,3419.7267,3414.4527
21,2021-01-04,12888.28,30606.48,3473.0693,6460.52,27444.17,27231.13,1901.3,51.71,100.5,104.9,1420,1.5,3473.0693,1.6164083924782413,1.72,58.6166,3356739.0,45048232.0,3474.9182,3419.7267,3414.4527
22,2021-01-05,12698.45,30223.89,3502.9584,6571.88,27258.38,27472.81,1946.7,50.74,100.5,104.9,1420,1.5,3502.9584,1.5677573724198428,0.86,29.8891,3807908.0,52336770.0,3511.6554,3457.2061,3473.0693
23,2021-01-06,12818.96,30391.6,3528.6767,6612.25,27172.67,27649.859,1953.4,53.75,99.5,104.9,1420,1.5,3528.6767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3528.6767
24,2021-01-07,12740.79,30829.4,3550.8767,6841.86,27055.94,27692.3,1920.5,54.19,99.5,104.9,1420,1.5,3550.8767,1.237744449640284,0.63,22.2,3702309.0,52179953.0,3556.8022,3513.1262,3528.6767
25,2021-01-10,13201.98,31097.97,3570.1082,6873.26,28139.03,27878.22,1848.1,56.25,99.5,104.9,1420,1.5,3570.1082,1.2071820499308117,-0.17,-6.0964,3455578.0,50217082.0,3588.0625,3544.8912,3576.2046
26,2021-01-11,13201.98,31097.97,3570.1082,6873.26,28139.03,27878.22,1846.0,56.25,99.5,104.9,1420,1.5,3570.1082,1.2071820499308117,-0.17,-6.0964,3455578.0,50217082.0,3588.0625,3544.8912,3576.2046
27,2021-01-12,13036.43,31008.69,3531.4978,6798.48,28139.03,27908.22,1843.4,55.57,99.5,104.9,1420,1.5,3531.4978,2.260883857805776,-1.08,-38.6104,3624791.0,52689593.0,3597.7022,3516.9862,3570.1082
28,2021-01-13,13072.43,31068.69,3608.3389,6754.11,28164.34,28276.75,1854.7,56.74,99.5,104.9,1420,1.50,3608.3389,2.573129169158773,2.18,76.8411,3234061.0,48577119.0,3608.3389,3517.4689,3531.4978
